'cl_Colectas_IdColectas','cl_Altitud','cl_Latitud','cl_Longitud','cl_Procedencia','cl_Municipio','cl_Distritos','cl_Nombre_region','cl_Nombre_estado','cl_Provincia_fisografica','cl_Area_Protegida','cl_Iluminacion','cl_Topografia','cl_Exposicion','cl_Suelo','cl_clima_Zona','cl_Ph','cl_Temperatura','cl_Textura','cl_Color','cl_Pedregosidad','cl_Abundancia_Zona','cl_Vegetacion_Zona'
191,0,0.0,0.0,'Santiago Dominguillo','San Juan Bautista Cuicatlán','Cuicatlán','Cañada','Oaxaca',,,,,,,,,,,,,,
192,0,0.0,0.0,'Santiago Dominguillo','San Juan Bautista Cuicatlán','Cuicatlán','Cañada','Oaxaca',,,,,,,,,,,,,,
193,0,0.0,0.0,'Santiago Dominguillo','San Juan Bautista Cuicatlán','Cuicatlán','Cañada','Oaxaca',,,,,,,,,,,,,,
194,0,0.0,0.0,'Santiago Dominguillo','San Juan Bautista Cuicatlán','Cuicatlán','Cañada','Oaxaca',,,,,,,,,,,,,,
195,940,16.666666667,-96.3,,'San Pedro Totolapa','Tlacolula','Valles Centrales','Oaxaca',,,,,,,,,,,,,,
196,20,16.333333333,-95.233333333,,'Santo Domingo Tehuantepec','Tehuantepec','Istmo','Oaxaca',,,,,,,,,,,,,,
197,20,16.333333333,-95.233333333,,'Santo Domingo Tehuantepec','Tehuantepec','Istmo','Oaxaca',,,,,,,,,,,,,,
198,20,16.333333333,-95.233333333,,'Santo Domingo Tehuantepec','Tehuantepec','Istmo','Oaxaca',,,,,,,,,,,,,,
199,21,16.333333333,-95.233333333,,'Santo Domingo Tehuantepec','Tehuantepec','Istmo','Oaxaca',,,,,,,,,,,,,,
200,0,0.0,0.0,,'Heroica Ciudad de Huajuapan de León','Huajuapam','Mixteca','Oaxaca',,,,,,,,,,,,,,
201,0,0.0,0.0,'Santa María Tutla','San Andrés Dinicuiti','Huajuapam','Mixteca','Oaxaca',,,,,,,,,,,,,,
202,0,0.0,0.0,'Santa María Tutla','San Andrés Dinicuiti','Huajuapam','Mixteca','Oaxaca',,,,,,,,,,,,,,
203,1550,17.066666667,-96.716666667,'San Felipe del agua','Oaxaca de Juárez','Centro','Valles Centrales','Oaxaca',,,,,,,,,,,,,,
204,1551,17.066666667,-96.716666667,'San Felipe del Agua','Oaxaca de Juárez','Centro','Valles Centrales','Oaxaca',,,,,,,,,,,,,,
205,1600,17.8,-97.766666667,,'Heroica Ciudad de Huajuapan de León','Huajuapam','Mixteca','Oaxaca',,,,,,,,,,,,,,
206,0,0.0,0.0,'Santa María Tutla','San Andrés Dinicuiti','Huajuapam','Mixteca','Oaxaca',,,,,,,,,,,,,,
207,1400,17.8,-96.75,'Santa María Tutla','San Juan Bautista Cuicatlán','Cuicatlán','Cañada','Oaxaca',,,,,,,,,,,,,,
208,0,0.0,0.0,,'sin_municipio','sin_distrito','sin_regiones','Oaxaca',,,,,,,,,,,,,,
209,1400,17.8,-96.75,'Santiago Dominguillo','San Andrés Dinicuiti','Huajuapam','Mixteca','Oaxaca',,,,,,,,,,,,,,
210,1550,17.066666667,-96.716666667,'San Felipe del Agua','Oaxaca de Juárez','Centro','Valles Centrales','Oaxaca',,,,,,,,,,,,,,
211,1550,17.066666667,-96.716666667,'San Felipe del Agua','Oaxaca de Juárez','Centro','Valles Centrales','Oaxaca',,,,,,,,,,,,,,
212,1550,17.066666667,-96.716666667,'San Felipe del Agua','Oaxaca de Juárez','Centro','Valles Centrales','Oaxaca',,,,,,,,,,,,,,
213,20,16.333333333,-95.233333333,,'Santo Domingo Tehuantepec','Tehuantepec','Istmo','Oaxaca',,,,,,,,,,,,,,
214,20,16.333333333,-95.233333333,'San Felipe del Agua','Oaxaca de Juárez','Centro','Valles Centrales','Oaxaca',,,,,,,,,,,,,,
215,0,0.0,0.0,'San Felipe del Agua','Oaxaca de Juárez','Centro','Valles Centrales','Oaxaca',,,,,,,,,,,,,,
