'cl_Colectas_copy1_IdColectas','cl_Personas_Recolectar','cl_Fecha_Inicio','cl_Fecha_Corte','cl_Fecha_Tratamiento','cl_Fecha_Embalaje','cl_Fecha_Extraccion','cl_Tipo_Extraccion','cl_Fecha_Carga_Envio','cl_Tipo_vehiculo','cl_Fecha_Llegada','cl_Fecha_Descarga','cl_Observaciones','cl_Nombre_Responsable_Tecnico','cl_Nombre_Responsable_operativo'
5583,2,,,,'2021-07-21','2021-07-21','Manual','2021-07-21','Camioneta','2021-07-24','2021-07-24','Árbol de aprox, 25 m de altura con frutos de aprox. 10 cm de altura alargados, nombre comun: aguacate chupón, uso comestible pura pulpa nativo del pueblo, nombre en zapoteco: Yeex''ho Duxhe','Geovanni Mtz',
5584,2,,,,'2021-07-21','2021-07-21','Manual','2021-07-21','Camioneta 3/4 Mitsubishi','2021-07-24','2021-07-24',,'Geovanni Mtz',
5585,2,,,,'2021-07-22','2021-07-22','Manual','2021-07-22','Camioneta 3/4 Mitsubishi','2021-07-24','2021-07-24','Arbusto de aprox. 3m de altura, hojas color verde intenso, pubecente, con inflorecencia en racimo color roja','Geovanni Mtz',
5586,2,,,,'2021-07-22','2021-07-22','Manual','2021-07-22','Camioneta 3/4 Mitsubishi','2021-07-24','2021-07-24','Sobre materia orgánica.  Árbol de aprox. 4 m de altura con hojas alargadas, color verde intenso en el haz y verde claro en el envez, inflorescencia color verde claro.  las raices de este árbol son de color rojo a morado, con la punta amarilla la cual esta cubierta por una babita','Geovanni Mtz',
5587,2,,,,'2021-07-22','2021-07-22','Manual','2021-07-22','Camioneta 3/4 Mitsubishi','2021-07-24','2021-07-24','Sobre materia orgánica','Geovanni Mtz',
5588,3,,,,'2021-07-22','2021-07-22','Manual','2021-07-22','Camioneta 3/4 Mitsubishi','2021-07-25','2021-07-25','Suelo es Tepetate amarillo con materia orgánica','Geovanni Mtz',
5589,1,,,,'2021-07-22','2021-07-22','Manual','2021-07-22','Camioneta 3/4 Mitsubishi','2021-07-25','2021-07-25',,'Geovanni Mtz',
5590,2,,,,'2021-07-22','2021-07-22','Manual','2021-07-22','Camioneta 3/4 Mitsubishi','2021-07-25','2021-07-25',,'Geovanni Mtz',
5591,1,,,,'2021-07-22','2021-07-22','Manual','2021-07-22','Camioneta 3/4 Mitsubishi','2021-07-24','2021-07-24',,'Geovanni Mtz',
5592,2,,,,'2021-07-23','2021-07-23','Manual','2021-07-23','Camioneta 3/4 Mitsubishi','2021-07-26','2021-07-26','Semi-arborescente de aprox. 1 m dealtura, con hojas color verde intenso','Geovanni Mtz',
5593,,,,,'2021-07-23','2021-07-23','Manual','2021-07-23','Camioneta','2021-07-26','2021-07-26','Rescate, deslave','Geovanni Mtz',
5594,2,,,,'2021-07-23','2021-07-23','Manual','2021-07-23','Camioneta','2021-07-25','2021-07-25','Rescate','Geovanni Mtz',
5595,2,,,,'2021-07-23','2021-07-23','Manual','2021-07-23','Camioneta','2021-07-25','2021-07-25','Rescate','Geovanni Mtz',
5596,2,,,,'2021-07-23','2021-07-23','Manual','2021-07-23','Camioneta 3/4 Mitsubishi','2021-07-25','2021-07-25',,'Geovanni Mtz',
5597,2,,,,'2021-07-24','2021-07-24','Manual','2021-07-24','Camioneta 3/4 Mitsubishi','2021-07-25','2021-07-25',,'Geovanni Mtz',
5598,5,,,,'2021-07-28','2021-07-28','Manual','2021-07-28','Camioneta 3ton','2021-07-31','2021-07-31','El tipo de raíz es mixta lateral','Geovanni Mtz',
5599,5,,,,'2021-07-28','2021-07-28','Manual','2021-07-28','Camioneta 3ton','2021-07-31','2021-07-31','El tipo de raíz es mixta','Geovanni Mtz',
